seed,arm,method,node,label,score
1000,A1,B4_CFHM,163,1,13.103754646407491
1000,A1,B4_CFHM,121,0,13.021377503979997
1000,A1,B4_CFHM,71,1,12.92170224874416
1000,A1,B4_CFHM,55,0,12.86177717104514
1000,A1,B4_CFHM,69,0,12.836021333022748
1000,A1,B4_CFHM,195,1,12.799365960579989
1000,A2,B3_fragility_only,104,1,0.102986970378117
1000,A2,B3_fragility_only,123,1,0.0968004483495467
1000,A2,B3_fragility_only,183,1,0.0963480544597037
1000,A2,B3_fragility_only,114,1,0.0858632202508006
1000,A2,B3_fragility_only,99,1,0.0853598547798807
1000,A2,B3_fragility_only,199,1,0.0833808435355785
1000,A2,B3_fragility_only,174,1,0.0813506157702982
1000,A2,B3_fragility_only,188,1,0.0792711433779738
1000,A2,B3_fragility_only,167,1,0.076786785078013
1000,A2,B3_fragility_only,33,1,0.075732463500717
1000,A2,B3_fragility_only,195,1,0.075573490527914
1000,A2,B3_fragility_only,14,1,0.0734594017291751
1000,A2,B3_fragility_only,180,1,0.0722528603554636
1000,A2,B3_fragility_only,157,1,0.0720638327517216
1000,A2,B3_fragility_only,39,1,0.0715400108626778
1000,A2,B3_fragility_only,191,1,0.0714046856336656
1000,A2,B3_fragility_only,118,1,0.071191935740317
1000,A2,B3_fragility_only,89,1,0.0711760866566742
1000,A2,B3_fragility_only,162,1,0.0680181993522826
1000,A2,B3_fragility_only,65,1,0.0677717451228389
1000,A2,B3_fragility_only,139,1,0.0670760508212982
1000,A2,B3_fragility_only,58,1,0.0667711306860716
1000,A2,B3_fragility_only,121,1,0.0652016643813024
1000,A2,B3_fragility_only,71,0,0.0641686097696176
1000,A2,B3_fragility_only,149,1,0.0640389030919614
1000,A2,B4_CFHM,191,1,13.91127927335371
1000,A2,B4_CFHM,184,0,13.651277171379531
1000,A2,B4_CFHM,174,1,13.60007495244881
1000,A2,B4_CFHM,181,0,13.582870813518452
1000,A2,B4_CFHM,125,1,13.48930271545978
1000,A2,B4_CFHM,124,1,13.396105840297349
1000,A2,B4_CFHM,161,1,13.392201922004856
1000,A2,B4_CFHM,157,1,13.34583963707567
1000,A2,B4_CFHM,86,1,13.342973794435
1000,A2,B4_CFHM,192,1,13.338010899149848
1000,A2,B4_CFHM,150,0,13.258131857109417
1000,A2,B4_CFHM,56,1,13.197122509524007
1000,A2,B4_CFHM,180,1,13.194691262681404
1000,A2,B4_CFHM,167,1,13.1778893575292
1000,A2,B4_CFHM,69,0,13.169671203171196
1000,A2,B4_CFHM,55,1,13.104098730228664
1000,A2,B4_CFHM,13,0,13.074862288196371
1000,A2,B4_CFHM,114,1,13.07332435122791
1000,A2,B4_CFHM,123,1,13.0709655811279
1000,A2,B4_CFHM,131,1,13.064882105808396
1000,A2,B4_CFHM,149,1,13.001545639663734
1000,A2,B4_CFHM,23,0,12.94959016271754
1000,A2,B4_CFHM,71,0,12.82841250858051
1000,A2,B4_CFHM,36,0,12.812049850643572
1000,A2,B4_CFHM,15,1,12.768267561383055
1025,A1,B3_fragility_only,178,1,0.2377933998057009
1025,A1,B3_fragility_only,169,1,0.2100461137798464
1025,A1,B3_fragility_only,188,1,0.1950199436283821
1025,A1,B3_fragility_only,166,1,0.1853501357433517
1025,A1,B3_fragility_only,133,1,0.1814150771589278
1025,A1,B3_fragility_only,94,1,0.1702520083677535
1025,A1,B3_fragility_only,150,1,0.1399561981747067
1025,A1,B3_fragility_only,190,1,0.1316537092045746
1025,A1,B3_fragility_only,184,1,0.1306475247347089
1025,A1,B3_fragility_only,152,1,0.1236109502983171
1025,A1,B3_fragility_only,168,1,0.1233032344919108
1025,A1,B3_fragility_only,192,1,0.1163690682173595
1025,A1,B3_fragility_only,182,1,0.11476380939947
1025,A1,B3_fragility_only,196,0,0.1132616197053248
1025,A1,B3_fragility_only,127,1,0.1077912878886249
1025,A1,B3_fragility_only,159,1,0.1048313239209012
1025,A1,B3_fragility_only,32,1,0.1039646103337937
1025,A1,B3_fragility_only,171,1,0.0991026438580699
1025,A1,B3_fragility_only,131,1,0.0906325864535105
1025,A1,B3_fragility_only,193,0,0.0905779406781592
1025,A1,B3_fragility_only,170,1,0.0874908516725372
1025,A1,B3_fragility_only,139,1,0.084464505204641
1025,A1,B3_fragility_only,180,1,0.0830416312076699
1025,A1,B3_fragility_only,149,1,0.0815670223575472
1025,A1,B3_fragility_only,194,1,0.0781366427729667
1025,A1,B4_CFHM,197,1,14.787477829444391
1025,A1,B4_CFHM,170,1,14.771647870532426
1025,A1,B4_CFHM,173,1,14.758338532012845
1025,A1,B4_CFHM,104,1,14.566713725013976
1025,A1,B4_CFHM,180,1,14.445696280558565
1025,A1,B4_CFHM,168,1,14.355743316525707
1025,A1,B4_CFHM,140,1,14.327046926258244
1025,A1,B4_CFHM,124,0,14.29786880047442
1025,A1,B4_CFHM,114,1,14.23660052950243
1025,A1,B4_CFHM,172,1,14.20385408270528
1025,A1,B4_CFHM,115,1,14.16432487024974
1025,A1,B4_CFHM,193,0,14.073954049351007
1025,A1,B4_CFHM,184,1,14.017357339344114
1025,A1,B4_CFHM,188,1,13.991984172202772
1025,A1,B4_CFHM,169,1,13.96799140286322
1025,A1,B4_CFHM,186,0,13.897677810511777
1025,A1,B4_CFHM,181,1,13.861223212049438
1025,A1,B4_CFHM,166,1,13.789871255835502
1025,A1,B4_CFHM,159,1,13.779346062949156
1025,A1,B4_CFHM,150,1,13.732521350595924
1025,A1,B4_CFHM,190,1,13.721102316538888
1025,A1,B4_CFHM,134,0,13.705449120495924
1025,A1,B4_CFHM,130,0,13.676045079551017
1025,A1,B4_CFHM,108,1,13.646707275600148
1025,A1,B4_CFHM,139,1,13.508176919564994
1025,A2,B3_fragility_only,178,1,0.1187502802836366
1025,A2,B3_fragility_only,166,1,0.1060198902734135
1025,A2,B3_fragility_only,169,1,0.100399237985732
1025,A2,B3_fragility_only,94,1,0.0978743769305258
1025,A2,B3_fragility_only,133,1,0.0914100105037579
1025,A2,B3_fragility_only,152,1,0.0898713551043893
1025,A2,B3_fragility_only,171,0,0.0891668029163303
1025,A2,B3_fragility_only,188,1,0.0855282962608129
1025,A2,B3_fragility_only,150,1,0.0847244093589308
1025,A2,B3_fragility_only,127,1,0.0776313711403892
1025,A2,B3_fragility_only,190,1,0.0766419186932631
1025,A2,B3_fragility_only,168,1,0.0756041748248524
1025,A2,B3_fragility_only,184,1,0.0747355063532595
1025,A2,B3_fragility_only,32,1,0.0744147458607318
1025,A2,B3_fragility_only,196,0,0.0704959827183672
1025,A2,B3_fragility_only,182,1,0.0687227866189124
1025,A2,B3_fragility_only,180,1,0.0670799345122984
1025,A2,B3_fragility_only,71,1,0.0667825669276518
1025,A2,B3_fragility_only,159,1,0.0667515980477223
1025,A2,B3_fragility_only,87,1,0.0663694623221332
1025,A2,B3_fragility_only,131,1,0.0628057335159621
1025,A2,B3_fragility_only,192,0,0.0619557860785891
1025,A2,B3_fragility_only,170,1,0.0617538980978725
1025,A2,B3_fragility_only,187,1,0.0607251275993465
1025,A2,B3_fragility_only,161,1,0.0597312575381896
1025,A2,B4_CFHM,173,0,14.52694853501753
1025,A2,B4_CFHM,104,1,14.481080077612717
1025,A2,B4_CFHM,197,1,14.422793087716824
1025,A2,B4_CFHM,170,1,14.354049207202117
1025,A2,B4_CFHM,186,0,14.22383140768486
1025,A2,B4_CFHM,124,0,14.204321546578294
1025,A2,B4_CFHM,115,0,14.122529094183522
1025,A2,B4_CFHM,172,0,14.084974475184795
1025,A2,B4_CFHM,180,1,14.062675155342298
1025,A2,B4_CFHM,114,0,13.964039726292896
1025,A2,B4_CFHM,168,1,13.932093177590172
1025,A2,B4_CFHM,140,0,13.90482959850402
1025,A2,B4_CFHM,134,1,13.865455236228756
1025,A2,B4_CFHM,130,1,13.844869194005971
1025,A2,B4_CFHM,193,1,13.81737807983907
1025,A2,B4_CFHM,120,0,13.660292819912575
1025,A2,B4_CFHM,108,1,13.644627731938634
1025,A2,B4_CFHM,177,0,13.497035880090522
1025,A2,B4_CFHM,109,1,13.493152804207414
1025,A2,B4_CFHM,181,1,13.48836619737776
1025,A2,B4_CFHM,179,0,13.480896442833249
1025,A2,B4_CFHM,85,1,13.461719778358615
1025,A2,B4_CFHM,164,1,13.430966718168357
1025,A2,B4_CFHM,166,1,13.408309076613888
1025,A2,B4_CFHM,119,0,13.3824997656738
1049,A1,B3_fragility_only,49,1,0.2291322759774446
1049,A1,B3_fragility_only,185,1,0.2195569782323453
1049,A1,B3_fragility_only,91,1,0.2148780825277648
1049,A1,B3_fragility_only,136,1,0.2004670359192028
1049,A1,B3_fragility_only,83,1,0.1684835027612505
1049,A1,B3_fragility_only,7,1,0.1676034645006968
1049,A1,B3_fragility_only,33,1,0.1657750960042628
1049,A1,B3_fragility_only,92,1,0.1657689959978695
1049,A1,B3_fragility_only,193,1,0.139481381704675
1049,A1,B3_fragility_only,77,1,0.1382198083561975
1049,A1,B3_fragility_only,140,1,0.135771639552192
1049,A1,B3_fragility_only,150,1,0.1246757274319979
1049,A1,B3_fragility_only,94,1,0.1213085828310089
1049,A1,B3_fragility_only,111,1,0.1172642728644828
1049,A1,B3_fragility_only,101,1,0.1158268675581994
1049,A1,B3_fragility_only,189,1,0.1153195324234548
1049,A1,B3_fragility_only,69,1,0.1107590357571321
1049,A1,B3_fragility_only,199,1,0.1059557436610671
1049,A1,B3_fragility_only,103,1,0.105548752783511
1049,A1,B3_fragility_only,121,1,0.1025076650750761
1049,A1,B3_fragility_only,119,1,0.099615907490637
1049,A1,B3_fragility_only,176,1,0.0973081694629446
1049,A1,B3_fragility_only,87,1,0.0865257750126335
1049,A1,B3_fragility_only,1,1,0.0859168353526532
1049,A1,B3_fragility_only,95,1,0.0801562310397235
1049,A1,B4_CFHM,101,1,16.409886287791906
1049,A1,B4_CFHM,94,1,15.672857335416277
1049,A1,B4_CFHM,169,1,15.581837795630896
1049,A1,B4_CFHM,193,1,15.432190487612573
1049,A1,B4_CFHM,76,1,15.20387610996834
1049,A1,B4_CFHM,1,1,15.185107201255736
1049,A1,B4_CFHM,49,1,15.097262734561108
1049,A1,B4_CFHM,110,1,14.977092013321442
1049,A1,B4_CFHM,7,1,14.948279355269634
1049,A1,B4_CFHM,140,1,14.933542092199168
1049,A1,B4_CFHM,168,1,14.865242462280024
1049,A1,B4_CFHM,46,1,14.849800827640394
1049,A1,B4_CFHM,41,1,14.785536509984878
1049,A1,B4_CFHM,9,1,14.77247150209937
1049,A1,B4_CFHM,92,1,14.766245304166771
1049,A1,B4_CFHM,103,1,14.718619901776558
1049,A1,B4_CFHM,77,1,14.704562261711732
1049,A1,B4_CFHM,83,1,14.701337136343218
1049,A1,B4_CFHM,22,1,14.618773760108835
1049,A1,B4_CFHM,33,1,14.573034635776754
1049,A1,B4_CFHM,56,1,14.56634525265718
1049,A1,B4_CFHM,111,1,14.554150320952198
1049,A1,B4_CFHM,136,1,14.54767713887356
1049,A1,B4_CFHM,91,1,14.50488708152062
1049,A1,B4_CFHM,161,0,14.432268827604874
1049,A2,B3_fragility_only,49,1,0.1285302365419481
1049,A2,B3_fragility_only,91,1,0.1209441794081465
1049,A2,B3_fragility_only,185,1,0.1119533533280946
1049,A2,B3_fragility_only,7,1,0.1117430625335792
1049,A2,B3_fragility_only,136,0,0.1100005504012219
1049,A2,B3_fragility_only,33,1,0.108420937158958
1049,A2,B3_fragility_only,83,1,0.1036351450566463
1049,A2,B3_fragility_only,92,1,0.1031062336441383
1049,A2,B3_fragility_only,77,1,0.0937243465853886
1049,A2,B3_fragility_only,140,1,0.0892043217688545
1049,A2,B3_fragility_only,193,1,0.0887091971414596
1049,A2,B3_fragility_only,101,0,0.0878225301909021
1049,A2,B3_fragility_only,150,1,0.0857657273115304
1049,A2,B3_fragility_only,111,1,0.0844866248981468
1049,A2,B3_fragility_only,69,1,0.0841105688546186
1049,A2,B3_fragility_only,94,1,0.08334196313992
1049,A2,B3_fragility_only,189,1,0.0785054260497447
1049,A2,B3_fragility_only,103,1,0.0782283619413992
1049,A2,B3_fragility_only,119,1,0.0772060234494824
1049,A2,B3_fragility_only,199,1,0.076600351015563
1049,A2,B3_fragility_only,121,0,0.0765564170063419
1049,A2,B3_fragility_only,1,1,0.0721472979335548
1049,A2,B3_fragility_only,87,1,0.0713613254413584
1049,A2,B3_fragility_only,176,1,0.0703442148333112
1049,A2,B3_fragility_only,95,1,0.0680534524000037
1049,A2,B4_CFHM,101,0,16.00078782493801
1049,A2,B4_CFHM,169,1,15.558296900330664
1049,A2,B4_CFHM,94,1,15.453435903165357
1049,A2,B4_CFHM,1,1,15.163786838157144
1049,A2,B4_CFHM,76,1,15.133898921828717
1049,A2,B4_CFHM,193,1,15.048908996518364
1049,A2,B4_CFHM,168,0,14.866187678513702
1049,A2,B4_CFHM,46,1,14.81754981544528
1049,A2,B4_CFHM,41,1,14.763235895647917
1049,A2,B4_CFHM,110,1,14.703449335438329
1049,A2,B4_CFHM,7,1,14.701698033559136
1049,A2,B4_CFHM,135,1,14.67597090209181
1049,A2,B4_CFHM,9,0,14.670882576832732
1049,A2,B4_CFHM,49,1,14.66606646940723
1049,A2,B4_CFHM,22,1,14.564122265814165
1049,A2,B4_CFHM,140,1,14.54192453658964
1049,A2,B4_CFHM,161,0,14.535943304099415
1049,A2,B4_CFHM,28,0,14.429475868084232
1049,A2,B4_CFHM,31,1,14.425844102138392
1049,A2,B4_CFHM,103,1,14.421912189309568
1049,A2,B4_CFHM,74,1,14.414989128458602
1049,A2,B4_CFHM,56,1,14.406625273835846
1049,A2,B4_CFHM,61,1,14.402156609448577
1049,A2,B4_CFHM,83,1,14.365638834818958
1049,A2,B4_CFHM,3,1,14.335872487311809
